platform,video_id,title,description,url,thumbnail_url,duration,view_count,like_count,comment_count,share_count,upload_date,creator_name,creator_id,creator_followers,tags,categories,language,is_live,is_private,age_restricted,audio_features,platform_metadata,scraped_at
YouTube,EuySE6259wQ,"ASMR MUKBANG Spicy chicken Tteokbokki, Seasoned Chicken, Cheese Kimchi Gimbap, fried food, Eating",,https://www.youtube.com/watch?v=EuySE6259wQ,https://i.ytimg.com/vi/EuySE6259wQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXmv7B6F80TCXQqfXI4vwoKbDbQw,1027,145481772,,,,,설기양SULGI,@sulgiyang,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCIafb9ExBkh4WsCOagZssZA', 'channel_id': 'UCIafb9ExBkh4WsCOagZssZA', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670489
YouTube,h0G9Qe5X6vM,"Real Mukbang Budae Jjigae, Korean Creamy Pasta, Kimchi Pancake, Spam & Eggs, Fried Crispy Squid ASMR",,https://www.youtube.com/watch?v=h0G9Qe5X6vM,https://i.ytimg.com/vi/h0G9Qe5X6vM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCA-l921TPx0-tq2_W3Wu7zDHlNJQ,1259,132387,,,,,Veronica Wang,@VeronicaWang,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCNopoBpPj8RUebuv5Ds5Cqw', 'channel_id': 'UCNopoBpPj8RUebuv5Ds5Cqw', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670499
YouTube,8jwZahp060U,"TOP11, Korean Popular Food Collection",,https://www.youtube.com/watch?v=8jwZahp060U,https://i.ytimg.com/vi/8jwZahp060U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCn96ZC5nG4N-3z2cMwuMXBR5mG8w,10387,262672,,,,,FoodieBoy 푸디보이,@FoodieBoyKR,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCe1ZsGtbRx2pgajGzwB9L0A', 'channel_id': 'UCe1ZsGtbRx2pgajGzwB9L0A', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670508
YouTube,wn-uL7ColtY,동네 오래된 중식집의 히든메뉴 비벼먹는 김치볶음밥?🤔 쟁반짜장 탕짜면 군만두 먹방,,https://www.youtube.com/watch?v=wn-uL7ColtY,https://i.ytimg.com/vi/wn-uL7ColtY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcwEmGhcNIQFAJItgrWTAo50Qa_Q,1251,2278927,,,,,tzuyang쯔양,@tzuyang6145,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCfpaSruWW3S4dibonKXENjA', 'channel_id': 'UCfpaSruWW3S4dibonKXENjA', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670519
YouTube,lvCu5bjuGeQ,[열무보리비빔밥] 늦여름 날리는 시원한 열무김치로 만든 열무보리비빔밥! [Young radish Kimchi Bibimbap] 요리&먹방!! - Mukbang eating show,,https://www.youtube.com/watch?v=lvCu5bjuGeQ,https://i.ytimg.com/vi/lvCu5bjuGeQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBuT3zSclyZwJmBys0E03JLyaJO0A,1232,7993317,,,,,흥삼이네 Heungsam's Family,@heungsamsfamily,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC5XuQ-xiWAB6f-qu6gJMDBQ', 'channel_id': 'UC5XuQ-xiWAB6f-qu6gJMDBQ', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670528
YouTube,YvM-mTNwFaQ,이거 먹으러 새벽5시에 찾아갔습니다🥺 역대급 목살수육과 가성비 순대국 먹방,,https://www.youtube.com/watch?v=YvM-mTNwFaQ,https://i.ytimg.com/vi/YvM-mTNwFaQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBn9waZ6vLKGAGwQgbI4hKPAbh_lg,1079,1090615,,,,,tzuyang쯔양,@tzuyang6145,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCfpaSruWW3S4dibonKXENjA', 'channel_id': 'UCfpaSruWW3S4dibonKXENjA', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670537
YouTube,AcuWi1jpIIE,"텃밭 가꾸고 스팸순두부찌개에 계란밥 집밥 ☆ 고등어구이,파김치,김",,https://www.youtube.com/watch?v=AcuWi1jpIIE,https://i.ytimg.com/vi/AcuWi1jpIIE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8npU9WaRQAqn_DdQDiY0XeF7KHg,647,1524783,,,,,[햄지]Hamzy,@hamzymukbang,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCPKNKldggioffXPkSmjs5lQ', 'channel_id': 'UCPKNKldggioffXPkSmjs5lQ', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670546
YouTube,2oViaoUYekY,ASMR MUKBANG | Spicy Whole Pork Belly Kimchi Jjim & Fried Eggs with Rice – Korean Comfort Food!,,https://www.youtube.com/watch?v=2oViaoUYekY,https://i.ytimg.com/vi/2oViaoUYekY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaDWCeRD666f14ZQruvQTT28H2Kg,944,325565,,,,,푸메Fume,@Fumeyamyam,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCbzI92w5vWa6mEj1dACfy6g', 'channel_id': 'UCbzI92w5vWa6mEj1dACfy6g', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670555
YouTube,uNq8gRAzMYc,목포1탄) 한입 먹자마자 인생맛집이 됐습니다🥺 목포 현지인도 줄서는 선희식육식당 생고기 삼겹살 먹방,,https://www.youtube.com/watch?v=uNq8gRAzMYc,https://i.ytimg.com/vi/uNq8gRAzMYc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8Dt-T7fWxcgOctxDp48TIS27YkA,1106,2119293,,,,,tzuyang쯔양,@tzuyang6145,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCfpaSruWW3S4dibonKXENjA', 'channel_id': 'UCfpaSruWW3S4dibonKXENjA', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670564
YouTube,wHqznfexb6k,부모님이 좋아하시는 가수 신성님이 저희 집에 오셨습니다! 얼큰한 낙곱새 먹방! (Spicy Nakgopsae with guest) 요리&먹방 - Mukbang eating show,,https://www.youtube.com/watch?v=wHqznfexb6k,https://i.ytimg.com/vi/wHqznfexb6k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAskqGjGCFIIgKC5-pEBvZNHun2oQ,968,1554348,,,,,흥삼이네 Heungsam's Family,@heungsamsfamily,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC5XuQ-xiWAB6f-qu6gJMDBQ', 'channel_id': 'UC5XuQ-xiWAB6f-qu6gJMDBQ', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670573
YouTube,RdufKDGKFes,"콩잎물김치, 보리멸치, 산나물전! 제철 봄 식재료로 향긋한 봄내음 가득한 집밥 한 상! (Korean homemade foods) 요리&먹방 - Mukbang eating show",,https://www.youtube.com/watch?v=RdufKDGKFes,https://i.ytimg.com/vi/RdufKDGKFes/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVl6YC3pMtYRoRjEKU7hqMCvkltg,1068,281224,,,,,흥삼이네 Heungsam's Family,@heungsamsfamily,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC5XuQ-xiWAB6f-qu6gJMDBQ', 'channel_id': 'UC5XuQ-xiWAB6f-qu6gJMDBQ', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670582
YouTube,5HvsKPp2HU8,제주 마지막탄) 김밥이 한줄에 1000원?!😳 모녀가 운영하는 제주도 가격파괴 분식집.. 떡볶이 라면 먹방,,https://www.youtube.com/watch?v=5HvsKPp2HU8,https://i.ytimg.com/vi/5HvsKPp2HU8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAr1KcwdpmX37OsyRgZ1-LfHQgOg,972,4830082,,,,,tzuyang쯔양,@tzuyang6145,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCfpaSruWW3S4dibonKXENjA', 'channel_id': 'UCfpaSruWW3S4dibonKXENjA', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670593
YouTube,pk7TqUSlnQQ,"Real Mukbang:) Korean chicken & Spicy Chicken Feet ☆ ft. Grilled Soft Borns, Dessert",,https://www.youtube.com/watch?v=pk7TqUSlnQQ,https://i.ytimg.com/vi/pk7TqUSlnQQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBhP-JgX9hby3nYYJCf-5GHnSFcWw,720,4340032,,,,,[햄지]Hamzy,@hamzymukbang,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCPKNKldggioffXPkSmjs5lQ', 'channel_id': 'UCPKNKldggioffXPkSmjs5lQ', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670602
YouTube,0I4QhrkXr08,"ASMR MUKBANG | Fried Chicken, pork cutlet, black bean noodles, kimchi Korean Food recipe ! eating",,https://www.youtube.com/watch?v=0I4QhrkXr08,https://i.ytimg.com/vi/0I4QhrkXr08/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDsxUtwgQQ-lLzgegVwmfNPDf0xiQ,955,3108611,,,,,GONGSAM TABLE 이공삼,@gongsam_table203,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC2B5onlYkZ7IaVekR9yIB6w', 'channel_id': 'UC2B5onlYkZ7IaVekR9yIB6w', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670611
YouTube,lGe5FtBjVOY,"Real Mukbang:) Pig's Feet & Cold Beer ☆ Spicy pig's feet, kimchi pancake, steamed egg",,https://www.youtube.com/watch?v=lGe5FtBjVOY,https://i.ytimg.com/vi/lGe5FtBjVOY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGwQVvGjHxKxNoyL-ub0DJQ2sSZg,749,5777671,,,,,[햄지]Hamzy,@hamzymukbang,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCPKNKldggioffXPkSmjs5lQ', 'channel_id': 'UCPKNKldggioffXPkSmjs5lQ', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670620
YouTube,m-qMPIiUkS4,Real Mukbang:) The best combination 'Jjajang Ramyun & Korean BBQ' ☆ Radish Kimchi,,https://www.youtube.com/watch?v=m-qMPIiUkS4,https://i.ytimg.com/vi/m-qMPIiUkS4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFL9oUXGotxZ09bDJ1TQSngFC5og,657,4992044,,,,,[햄지]Hamzy,@hamzymukbang,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCPKNKldggioffXPkSmjs5lQ', 'channel_id': 'UCPKNKldggioffXPkSmjs5lQ', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670629
YouTube,yeBEf48qRUM,"Red Braised Pork Belly ""Red Braised Pork Eat Meat with Big Mouthfuls Asmr Eating Sounds",,https://www.youtube.com/watch?v=yeBEf48qRUM,https://i.ytimg.com/vi/yeBEf48qRUM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAxAVXEymvTs4i0al08C718WkuqA,921,1933434,,,,,asmr mukbangs_55,@asmrmukbangs_55,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC1eI7sgVnKlN63T6Od318iA', 'channel_id': 'UC1eI7sgVnKlN63T6Od318iA', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670638
YouTube,IPhFX7GZJRg,"ASMR MUKBANG | Crispy Pepper Fried Chicken, Chicago Pizza, Fried Rice recipe ! eating",,https://www.youtube.com/watch?v=IPhFX7GZJRg,https://i.ytimg.com/vi/IPhFX7GZJRg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJShFmufjGmUPnFxxBtfKNyafxaA,1074,967686,,,,,GONGSAM TABLE 이공삼,@gongsam_table203,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC2B5onlYkZ7IaVekR9yIB6w', 'channel_id': 'UC2B5onlYkZ7IaVekR9yIB6w', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670658
YouTube,gZ8JPqwUY9s,"ASMR MUKBANG | Fire Noodles, Hot dog, pork belly, sausage recipe ! eating",,https://www.youtube.com/watch?v=gZ8JPqwUY9s,https://i.ytimg.com/vi/gZ8JPqwUY9s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFO97OGdQdCCp_KaG0403x4zSBWQ,974,5461952,,,,,GONGSAM TABLE 이공삼,@gongsam_table203,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC2B5onlYkZ7IaVekR9yIB6w', 'channel_id': 'UC2B5onlYkZ7IaVekR9yIB6w', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670667
YouTube,vNBt7b80UpA,"ASMR MUKBANG convenience store store, FIRE Noodle, HOT DOG, GIMBAP, Tteokbokki EATING SOUND !",,https://www.youtube.com/watch?v=vNBt7b80UpA,https://i.ytimg.com/vi/vNBt7b80UpA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQDzidLno3VtIIOGMJLoxubA1Iig,1060,16422844,,,,,GONGSAM TABLE 이공삼,@gongsam_table203,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UC2B5onlYkZ7IaVekR9yIB6w', 'channel_id': 'UC2B5onlYkZ7IaVekR9yIB6w', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670677
YouTube,y0-LwK9Ni9U,18 BEST Local Japanese CHEAP EATS in Tokyo Japan,,https://www.youtube.com/watch?v=y0-LwK9Ni9U,https://i.ytimg.com/vi/y0-LwK9Ni9U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyhNAVeB4daS07tcnMCKQclgv-BQ,3597,1761120,,,,,Strictly Dumpling,@strictlydumpling,,,,,False,False,False,,"{'channel_url': 'https://www.youtube.com/channel/UCXOKEdfOFxsHO_-Su3K8SHg', 'channel_id': 'UCXOKEdfOFxsHO_-Su3K8SHg', 'playable_in_embed': False, 'automatic_captions': None, 'subtitles': None, 'chapters': None, 'heatmap': None, 'average_rating': None, 'webpage_url_basename': None, 'extractor': None}",2025-06-21T19:31:44.670686
